Filtered_stateEstimate.x_y	Filtered_stateEstimate.y_y	Filtered_stateEstimate.z_y
1.090930	1.039874	0.273254
1.476644	1.402798	0.368911
1.680942	1.595116	0.419051
1.809923	1.714484	0.450277
1.900037	1.793610	0.471398
1.964254	1.849164	0.486339
2.008496	1.890206	0.496944
2.040404	1.920325	0.504621
2.063651	1.942725	0.510358
2.078899	1.960283	0.515003
2.088985	1.976003	0.518126
2.097977	1.989599	0.520192
2.101780	1.998363	0.521236
2.099827	2.003281	0.521827
2.095937	2.006565	0.521864
2.089197	2.008622	0.521681
2.081269	2.009340	0.521286
2.074067	2.009658	0.520925
2.067566	2.007610	0.520632
2.063048	2.004863	0.520495
2.057433	2.001771	0.520670
2.052530	1.998598	0.521249
2.044438	1.994627	0.521785
2.040992	1.992091	0.522308
2.039922	1.990645	0.522829
2.039435	1.988943	0.523307
2.039087	1.988420	0.523744
2.040553	1.987377	0.523748
2.042498	1.986224	0.523347
2.045675	1.987224	0.522642
2.044087	1.980920	0.521904
2.045855	1.977193	0.520996
2.048993	1.975327	0.520124
2.055738	1.974852	0.519173
2.066256	1.975111	0.518315
2.074089	1.976150	0.517507
2.083851	1.976510	0.516875
2.092138	1.976471	0.516490
2.100276	1.976837	0.516130
2.106858	1.979590	0.516152
2.114123	1.982274	0.516146
2.121901	1.986416	0.516378
2.130109	1.989880	0.516810
2.139017	1.994181	0.517354
2.146822	1.998525	0.517400
2.155007	2.003825	0.517781
2.160768	2.009568	0.517966
2.166594	2.015487	0.518133
2.170565	2.020214	0.518482
2.171866	2.026035	0.518714
2.173694	2.030986	0.519317
2.173114	2.038164	0.519361
2.169544	2.043566	0.519421
2.166635	2.048309	0.519366
2.166542	2.053584	0.519200
2.165023	2.057371	0.518673
2.162344	2.058979	0.517983
2.158501	2.058650	0.517033
2.154380	2.057851	0.515922
2.148879	2.059201	0.515022
2.147123	2.061387	0.514328
2.145066	2.063397	0.513604
2.142798	2.065496	0.512684
2.142564	2.068769	0.512041
2.145241	2.071709	0.511413
2.147044	2.074620	0.510657
2.152561	2.077099	0.509821
2.155887	2.079750	0.508786
2.160539	2.082395	0.507882
2.165341	2.083576	0.506981
2.168664	2.085695	0.505990
2.172578	2.088321	0.505588
2.174722	2.091006	0.505587
2.176795	2.093380	0.505787
2.177363	2.096917	0.506527
2.177233	2.097605	0.507495
2.174687	2.097273	0.508036
2.172918	2.095249	0.508698
2.171148	2.094400	0.509385
2.166431	2.092383	0.509781
2.160359	2.089127	0.510532
2.156442	2.083650	0.511664
2.150666	2.079719	0.512796
2.147066	2.077088	0.513802
2.144353	2.073844	0.515102
2.140221	2.069199	0.516567
2.137628	2.068570	0.517437
2.134427	2.066554	0.517764
2.133984	2.064634	0.517955
2.132578	2.060230	0.518064
2.131659	2.055363	0.517791
2.136104	2.052421	0.517355
2.137554	2.049923	0.516259
2.138066	2.046543	0.515044
2.140353	2.043347	0.513941
2.144000	2.043376	0.512792
2.149297	2.042922	0.511553
2.154906	2.040183	0.510142
2.159320	2.035881	0.509042
2.165454	2.043483	0.507752
2.170821	2.048365	0.506532
2.175659	2.050381	0.505616
2.178655	2.051473	0.504762
2.180138	2.051783	0.504431
2.182160	2.053365	0.504048
2.183391	2.051396	0.503757
2.183494	2.047661	0.503386
2.184544	2.042759	0.502996
2.183496	2.039096	0.502796
2.183501	2.035130	0.502456
2.182965	2.028632	0.502126
2.182901	2.022426	0.502424
2.181476	2.017138	0.502149
2.178845	2.010740	0.501390
2.174019	2.002958	0.500871
2.171716	2.001557	0.500557
2.166845	1.997274	0.500557
2.161808	1.994307	0.500825
2.158470	1.991610	0.501632
2.153381	1.985146	0.502363
2.152146	1.977902	0.503113
2.149448	1.971961	0.503315
2.147615	1.966947	0.503543
2.145444	1.962796	0.503650
2.141783	1.959345	0.503888
2.140119	1.954389	0.504345
2.141161	1.953197	0.504845
2.141742	1.952229	0.505345
2.146210	1.953442	0.506093
2.151229	1.953353	0.506874
2.154247	1.953515	0.507718
2.157478	1.953554	0.508578
2.161789	1.954484	0.509558
2.163284	1.954109	0.510700
2.168808	1.951774	0.511881
2.174185	1.948873	0.513342
2.174378	1.944720	0.514386
2.173261	1.942265	0.515106
2.171764	1.942000	0.515664
2.170647	1.942020	0.515983
2.170360	1.941859	0.516186
2.171516	1.941275	0.516254
2.170367	1.942512	0.516064
2.167060	1.941034	0.515466
2.164356	1.939116	0.514527
2.164136	1.935772	0.513693
2.163689	1.933336	0.512575
2.161241	1.932128	0.511542
2.157579	1.931578	0.510323
2.153491	1.929876	0.508959
2.152782	1.927884	0.507751
2.151764	1.926519	0.506636
2.149523	1.925563	0.505533
2.146681	1.923381	0.504778
2.144674	1.922805	0.503957
2.142447	1.923005	0.503346
2.140287	1.923327	0.502564
2.138145	1.925892	0.502838
2.136526	1.928981	0.503566
2.134918	1.932418	0.504235
2.134385	1.936142	0.504687
2.133079	1.939459	0.505253
2.130160	1.940921	0.505642
2.126962	1.944517	0.506109
2.124043	1.946257	0.506775
2.123443	1.949463	0.507337
2.122586	1.952153	0.508316
2.123266	1.953984	0.508910
2.123340	1.952106	0.509101
2.118898	1.949392	0.509232
2.115943	1.946779	0.509390
2.111926	1.946827	0.509356
2.110096	1.948690	0.509173
2.109259	1.946713	0.508490
2.107248	1.945684	0.507734
2.106338	1.944967	0.506785
2.106434	1.945496	0.505759
2.105972	1.946738	0.505031
2.105789	1.948414	0.504128
2.105848	1.949518	0.503495
2.107617	1.951133	0.502700
2.109749	1.954454	0.502244
2.113614	1.958699	0.501678
2.121440	1.961221	0.501226
2.127564	1.965128	0.500663
2.131927	1.969514	0.500380
2.136570	1.972662	0.500375
2.138491	1.977727	0.500513
2.139847	1.983538	0.501136
2.143559	1.987950	0.501953
2.144519	1.990602	0.502964
2.144997	1.993667	0.503813
2.146781	1.995980	0.504342
2.147018	1.998477	0.504808
2.147250	2.001026	0.505039
2.147310	2.004136	0.505232
2.146086	2.006316	0.505713
